frec,amp,dec,dec_time
2645,0.06,1,0.2
5292,0.00023,1,0.025
7004,0.0027,1,0.014
7043,0.015,1,0.04
13228,0.006,1,0.055
17439,0.00039,1,0.015
20784,0.0011,1,0.02
